year,district,crop,season,sowing_date,harvest_date,season_total_rainfall_mm,season_avg_temp_c,season_avg_humidity,soil_pH,soil_N_kg_ha,soil_P_kg_ha,soil_K_kg_ha,organic_carbon_pct,soil_moisture_pct,farmer_fertilizer_N_kg_ha,farmer_fertilizer_P_kg_ha,farmer_fertilizer_K_kg_ha,yield_kg_per_ha
2023,Ganjam,rice,Summer,2023-03-3,2023-06-7,1314.3,30.9,61.1,7.46,89.8,21.1,127.6,1.12,19.8,52.2,37.6,56.9,3507.3
2023,Jagatsinghpur,rice,Rabi,2023-11-1,2024-02-9,1457.3,25.0,89.4,6.67,124.4,20.0,232.3,0.74,12.4,41.0,42.4,51.6,3923.7
2023,Jajpur,maize,Rabi,2023-11-7,2024-02-27,1135.2,30.7,53.2,6.83,93.1,40.7,222.9,0.83,20.7,65.1,38.8,69.3,2163.4
2023,Jharsuguda,maize,Summer,2023-03-11,2023-06-14,842.5,29.9,63.4,5.43,129.8,39.8,115.1,0.59,12.1,67.8,38.0,64.9,2617.7
2023,Kalahandi,maize,Kharif,2023-06-14,2023-10-21,1046.5,27.5,64.1,7.1,113.0,44.4,195.1,0.5,20.1,66.0,47.5,24.2,2885.0
2023,Kandhamal,pulses,Kharif,2023-06-18,2023-10-15,495.3,30.0,61.2,6.61,128.6,30.4,145.8,0.57,10.5,64.3,46.1,76.3,1122.3
2023,Kendrapara,pulses,Rabi,2023-11-5,2024-02-26,1332.6,29.2,81.5,6.66,98.2,42.2,200.6,0.85,11.7,75.8,38.4,71.9,548.2
2023,Keonjhar,pulses,Kharif,2023-06-19,2023-10-2,1469.8,21.3,66.9,5.11,131.8,42.5,142.0,1.09,14.4,112.9,50.2,68.3,1454.2
2023,Khordha,maize,Rabi,2023-11-15,2024-02-14,223.4,31.6,79.1,5.76,138.1,23.4,230.9,0.49,20.6,83.3,23.9,34.5,2794.2
2023,Koraput,rice,Rabi,2023-11-20,2024-02-26,591.6,27.2,61.9,5.75,132.0,16.4,235.4,1.08,20.0,87.5,55.7,31.1,3409.0
2023,Malkangiri,pulses,Summer,2023-03-9,2023-06-4,302.7,22.9,81.8,5.09,120.8,44.9,228.4,0.82,11.0,106.5,44.0,26.9,1492.6
2023,Mayurbhanj,rice,Summer,2023-03-13,2023-06-6,1342.7,26.9,70.7,6.08,102.2,28.0,216.1,0.88,23.4,75.5,44.3,57.9,3650.3
2023,Nabarangpur,rice,Rabi,2023-11-17,2024-02-5,969.2,28.4,59.5,6.28,87.3,26.5,173.2,0.92,24.3,88.1,49.7,50.4,3313.2
2023,Nayagarh,maize,Summer,2023-03-20,2023-06-14,530.7,24.3,68.9,5.11,89.8,23.3,245.7,0.67,17.2,55.7,44.4,36.8,2858.4
2023,Nuapada,groundnut,Rabi,2023-11-13,2024-02-23,469.1,26.2,50.2,5.02,95.3,16.1,116.2,0.67,22.0,85.8,40.5,37.6,1952.0
2023,Puri,groundnut,Kharif,2023-06-22,2023-10-24,313.2,27.4,54.6,5.86,115.5,41.2,174.0,0.96,24.9,50.5,31.0,43.7,2201.4
2023,Rayagada,rice,Summer,2023-03-10,2023-06-3,748.4,24.9,86.3,6.79,122.6,24.3,223.6,1.16,22.3,40.1,45.5,23.1,3983.7
2023,Sambalpur,rice,Kharif,2023-06-12,2023-10-10,348.8,24.6,68.2,5.92,88.5,27.6,212.7,0.46,11.2,68.4,57.7,60.1,3769.1
2023,Subarnapur,rice,Rabi,2023-11-8,2024-02-9,1082.3,24.3,73.7,5.03,124.5,42.4,191.9,1.1,20.9,49.6,56.1,24.0,3156.9
2023,Sundargarh,rice,Summer,2023-03-10,2023-06-7,215.2,25.1,61.8,6.22,120.4,16.3,118.5,0.85,15.1,98.3,46.1,70.7,3532.6
